date,close,中国债10,非中进出口,成交量笔,中工财,美财政,非中GDP,中GDP,非中M2,中电,中进出口,中外贸,中财政综,中汇率,美股,金银,中储,中能源,中零售三产中M,另外股指
1997/1/16,-1.4322840012546003,-1.6659623544344802,-6.167535422485822,-1.0929062897893247,-3.818956291419929,-2.68884785290688,-6.002152476431323,-1.7128170553996014,-0.7558025640953294,-2.7105875694884993,-3.147273440524386,-1.5894876349549012,-2.8346033497166467,2.150157614062608,-3.681476553665142,-2.3340005484844504,-1.9234193329574063,-3.7308682346611994,-1.6538073817907162,-1.9751879603484397
1997/1/17,-1.3967243921660344,-1.6658146594132517,-6.1536561155116125,-1.0872969031914603,-3.8191778868644066,-2.6943523379450935,-5.997932578511955,-1.7146760854514675,-0.7557041536707827,-2.710338676945393,-3.1452933141615556,-1.5885866180172883,-2.833610927089067,2.1504196640487483,-3.671065459872873,-2.330088630154452,-1.9233202063402528,-3.722467445363498,-1.6529644344362497,-1.9681290713021775
1997/1/20,-1.3921994547627337,-1.6656669643920237,-6.1397768085374,-1.0833893576897187,-3.8193994823088846,-2.695914267640628,-5.993712680592589,-1.7165351155033337,-0.7556057432462358,-2.7100897844022875,-3.143313187798725,-1.5876856010796754,-2.8326185044614878,2.1502632202156535,-3.6564364298112357,-2.3300028345427983,-1.9232210797230997,-3.7140666560657967,-1.6521214870817833,-1.9526537208803243
1997/1/21,-1.3936892670054268,-1.6655192693707954,-6.12589750156319,-1.0830534001361216,-3.819621077753362,-2.6974761973361625,-5.989492782673219,-1.7183941455551999,-0.7555268576041183,-2.709840891859182,-3.1413330614358945,-1.5867845841420625,-2.8316260818339085,2.1547364810220175,-3.649982096396674,-2.3313437633665535,-1.9231219531059465,-3.7056658667680944,-1.6512785397273169,-1.9562742748728261
1997/1/22,-1.3936892670054268,-1.6653715743495674,-6.1120181945889795,-1.0762836057137062,-3.81984267319784,-2.6990381270316974,-5.985272884753852,-1.720253175607066,-0.7554479719620008,-2.7095919993160753,-3.139352935073064,-1.5858835672044496,-2.830633659206329,2.152407601989811,-3.6172869176094467,-2.3359562793677218,-1.923022826488793,-3.6972650774703935,-1.6504355923728504,-1.9405136588139877
1997/1/23,-1.3936892670054268,-1.6652238793283394,-6.098138887614769,-1.0691008987673385,-3.8200642686423176,-2.6957301391141266,-5.9810529868344835,-1.7221122056589324,-0.7553690863198836,-2.7093431067729696,-3.1373728087102335,-1.5849825502668367,-2.8296412365787496,2.1545660104764455,-3.6313260000742984,-2.334418638082396,-1.9229236998716397,-3.6888642881726925,-1.6495926450183838,-1.932541249651002
1997/1/24,-1.3872653359107459,-1.6650761843071111,-6.084259580640557,-1.071205717567997,-3.820285864086795,-2.6924221511965563,-5.9768330889151144,-1.7239712357107984,-0.7552902006777662,-2.709094214229864,-3.135392682347403,-1.5840815333292237,-2.8286488139511703,2.156234716583534,-3.651858813516777,-2.3187988590975968,-1.9228245732544864,-3.6804634988749907,-1.6487496976639173,-1.9232897762099808
1997/1/27,-1.3538822238896648,-1.6649284892858829,-6.070380273666346,-1.0666832042575807,-3.8205074595312727,-2.6842329042832884,-5.972613190995748,-1.7258302657626645,-0.7552113150356491,-2.7088453216867583,-3.133412555984573,-1.5831805163916108,-2.8276563913235906,2.1554461532502733,-3.6745521856327614,-2.320093395980233,-1.9227254466373331,-3.672062709577289,-1.6479067503094509,-1.913174087628202
1997/1/28,-1.3348770514963881,-1.6647807942646546,-6.056500966692136,-1.0706185251380897,-3.82072905497575,-2.676043657370021,-5.968393293076378,-1.727689295814531,-0.7551994644798732,-2.708596429143652,-3.1314324296217424,-1.582279499453998,-2.8266639686960113,2.1540966789771594,-3.6664903237026523,-2.311368189232599,-1.9226263200201799,-3.6636619202795875,-1.6470638029549844,-1.9162365292230807
1997/1/29,-1.3360208007053511,-1.6646330992434266,-6.042621659717925,-1.0724600947072243,-3.8209506504202277,-2.667854410456753,-5.96417339515701,-1.7295483258663968,-0.755187613924098,-2.7083475366005465,-3.129452303258912,-1.5813784825163848,-2.825671546068432,2.1521150852038784,-3.6564349103926532,-2.323716488495776,-1.9225271934030264,-3.6552611309818857,-1.6462208556005182,-1.9123139340435245
1997/1/30,-1.3138640605583567,-1.6644854042221984,-6.028742352743715,-1.067103026050596,-3.8211722458647053,-2.6634580801460004,-5.959953497237643,-1.7314073559182632,-0.7551757633683225,-2.7080986440574404,-3.1274721768960814,-1.5804774655787721,-2.8246791234408524,2.1506944023704553,-3.618945146535935,-2.3263808782128708,-1.922428066785873,-3.646860341684185,-1.6453779082460518,-1.9114063339200877
1997/1/31,-1.3068872992085343,-1.6643377092009703,-6.014863045769505,-1.064410918827167,-3.815952663833643,-2.659061749835247,-5.9557335993182745,-1.733059449410256,-0.7551639128125465,-2.7078497515143347,-3.125492050533251,-1.5795764486411588,-2.8236867008132736,2.151098869477214,-3.5943803538812347,-2.326241450699146,-1.9223289401687196,-3.6384595523864833,-1.6445349608915856,-1.9076939465097371
1997/2/18,-1.3147020119293382,-1.6641900141797419,-6.000983738795293,-1.0580005334689,-3.81073308180258,-2.65846716931922,-5.951513701398907,-1.734711542902249,-0.7551520622567709,-2.7076008589712286,-3.1235119241704203,-1.578675431703546,-2.8226942781856934,2.1467224572812778,-3.4365234932517956,-2.3111079337747764,-1.9222298135515665,-3.6300587630887815,-1.6440596842517106,-1.9955419706355373
1997/2/19,-1.301443880042755,-1.6640423191585139,-5.987104431821082,-1.0613305166763627,-3.805513499771518,-2.657872588803192,-5.947293803479539,-1.7363636363942423,-0.7551402117009953,-2.707351966428123,-3.1215317978075907,-1.5777744147659332,-2.821701855558114,2.1492993595871477,-3.438108934998403,-2.3122975124025706,-1.922130686934413,-3.62165797379108,-1.6435844076118353,-1.9224764459969423
1997/2/20,-1.28519306468838,-1.6638946241372856,-5.973225124846872,-1.0498005842172693,-3.800293917740455,-2.6540470052553933,-5.943073905560169,-1.7380157298862353,-0.7551283611452196,-2.7071030738850173,-3.1195516714447598,-1.5768733978283203,-2.820709432930535,2.1555440768586247,-3.4556518741122173,-2.315244565411644,-1.9220315603172597,-3.6132571844933787,-1.6431091309719603,-1.92452559139434
1997/2/21,-1.2683839778361954,-1.6637469291160576,-5.95934581787266,-1.058453047785216,-3.795074335709393,-2.6502214217075934,-5.938854007640802,-1.7396678233782281,-0.755116510589444,-2.706854181341911,-3.1175715450819292,-1.5759723808907073,-2.819717010302955,2.157844902465879,-3.445509480988153,-2.305958655108513,-1.9219324337001067,-3.604856395195677,-1.6426338543320858,-1.8745393526217764
1997/2/24,-1.300100981352117,-1.6635992340948293,-5.9454665108984495,-1.0564267126898796,-3.78985475367833,-2.64315731055688,-5.934634109721433,-1.7413199168702211,-0.7551046600336684,-2.7066052887988055,-3.1155914187190987,-1.5750713639530942,-2.8187245876753764,2.159656025693585,-3.4273209590861033,-2.3041300266940112,-1.9218333070829532,-3.5964556058979755,-1.6421585776922105,-1.8744411134883499
1997/2/25,-1.2570226631439252,-1.663451539073601,-5.93158720392424,-1.055347381108352,-3.7846351716472673,-2.6360931994061665,-5.930414211802066,-1.7429720103622144,-0.7550316318262797,-2.7063563962557,-3.1136112923562687,-1.5741703470154813,-2.817732165047797,2.1622329279994563,-3.4139033033130026,-2.302974611433994,-1.9217341804658,-3.5880548166002746,-1.6416833010523355,-1.8665546244470408
1997/2/26,-1.2624181993742196,-1.6633038440523729,-5.917707896950029,-1.0516989242851842,-3.779415589616205,-2.6290290882554532,-5.926194313882697,-1.7446241038542074,-0.7549586036188917,-2.7061075037125937,-3.1116311659934377,-1.5732693300778684,-2.816739742420217,2.1662876949865852,-3.4397671161967347,-2.3025492809294117,-1.9216350538486466,-3.5796540273025723,-1.6412080244124607,-1.8483650685994364
1997/2/27,-1.2660812439387965,-1.6631561490311448,-5.903828589975817,-1.0426309638602544,-3.774196007585142,-2.630019071618721,-5.921974415963328,-1.7462761973462007,-0.754885575411503,-2.7058586111694876,-3.109651039630607,-1.5723683131402555,-2.8157473197926377,2.167404247696438,-3.4440281334649705,-2.2997108327831826,-1.9215359272314934,-3.5712532380048714,-1.6407327477725857,-1.8525041007699932
1997/2/28,-1.2242979414857582,-1.6630084540099166,-5.889949283001607,-1.0416590585557413,-3.773734550419979,-2.63100905498199,-5.91775451804396,-1.7479988066368775,-0.7548125472041145,-2.7056097186263823,-3.1089539965629616,-1.5719494376936858,-2.814754897165058,2.1668293100441063,-3.453896570473873,-2.2956702182896596,-1.92143680061434,-3.5628524487071696,-1.640259533333199,-1.8439231157243363
1997/3/3,-1.2155527762686047,-1.66285463398835,-5.886395674017977,-1.0364024878058435,-3.7732730932548164,-2.637956408275544,-5.9143671975255945,-1.7497214159275547,-0.7548907719064949,-2.705360826083276,-3.1083346043641997,-1.5715219327541705,-2.814267271783091,2.166452506969816,-3.449642959343082,-2.2950268986363955,-1.9213070463524005,-3.56406990743872,-1.6404408716275516,-1.8057844936605425
1997/3/4,-1.212479562409316,-1.6627008139667834,-5.882842065034347,-1.0365738075898376,-3.7728116360896533,-2.6449037615690973,-5.910979877007227,-1.7514440252182315,-0.7551857216938445,-2.7051119335401705,-3.107715212165438,-1.5710944278146557,-2.8137796464011244,2.1643929710759586,-3.4275621879677476,-2.295585745330426,-1.9211772920904608,-3.56528736617027,-1.640622209921904,-1.8008359209226228
